#At time x allocated y bytes for process z from i to j
At time 3 allocated 1 bytes for process 1 from 0 to 0
At time 4 allocated 2 bytes for process 2 from 2 to 3
At time 5 allocated 3 bytes for process 3 from 4 to 7
At time 5 freed 1 bytes from process 1 from 0 to 0
At time 6 allocated 4 bytes for process 4 from 8 to 11
At time 6 allocated 5 bytes for process 5 from 16 to 23
At time 9 allocated 6 bytes for process 6 from 24 to 31
At time 10 freed 2 bytes from process 2 from 2 to 3
At time 11 freed 5 bytes from process 5 from 16 to 23
At time 13 allocated 7 bytes for process 7 from 16 to 23
At time 17 allocated 8 bytes for process 8 from 32 to 39
At time 17 freed 3 bytes from process 3 from 4 to 7
At time 19 allocated 9 bytes for process 9 from 48 to 63
At time 19 allocated 10 bytes for process 10 from 64 to 79
At time 19 freed 8 bytes from process 8 from 32 to 39
At time 24 freed 9 bytes from process 9 from 48 to 63
At time 29 freed 10 bytes from process 10 from 64 to 79
